route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color,route_sort_order,network_id
1,TRIMET,1,Vermont,3,https://trimet.org/schedules/r001.htm,084C8D,FFFFFF,400,TRIMET
2,TRIMET,FX2,Division,3,https://trimet.org/schedules/r002.htm,61A744,FFFFFF,500,TRIMET
4,TRIMET,4,Fessenden,3,https://trimet.org/schedules/r004.htm,084C8D,FFFFFF,600,TRIMET
6,TRIMET,6,Martin Luther King Jr Blvd,3,https://trimet.org/schedules/r006.htm,084C8D,FFFFFF,800,TRIMET
8,TRIMET,8,Jackson Park/NE 15th,3,https://trimet.org/schedules/r008.htm,084C8D,FFFFFF,1000,TRIMET
9,TRIMET,9,Powell Blvd,3,https://trimet.org/schedules/r009.htm,084C8D,FFFFFF,1100,TRIMET
10,TRIMET,10,Harold St,3,https://trimet.org/schedules/r010.htm,084C8D,FFFFFF,1300,TRIMET
11,TRIMET,11,Rivergate/Marine Dr,3,https://trimet.org/schedules/r011.htm,084C8D,FFFFFF,1400,TRIMET
12,TRIMET,12,Barbur/Sandy Blvd,3,https://trimet.org/schedules/r012.htm,084C8D,FFFFFF,1500,TRIMET
14,TRIMET,14,Hawthorne/Foster,3,https://trimet.org/schedules/r014.htm,084C8D,FFFFFF,1700,TRIMET
15,TRIMET,15,Belmont/NW 23rd,3,https://trimet.org/schedules/r015.htm,084C8D,FFFFFF,1800,TRIMET
16,TRIMET,16,Front Ave/St Helens Rd,3,https://trimet.org/schedules/r016.htm,084C8D,FFFFFF,1900,TRIMET
17,TRIMET,17,Holgate/Broadway,3,https://trimet.org/schedules/r017.htm,084C8D,FFFFFF,2000,TRIMET
18,TRIMET,18,Hillside,3,https://trimet.org/schedules/r018.htm,084C8D,FFFFFF,2300,TRIMET
19,TRIMET,19,Woodstock/Glisan,3,https://trimet.org/schedules/r019.htm,084C8D,FFFFFF,2400,TRIMET
20,TRIMET,20,Burnside/Stark,3,https://trimet.org/schedules/r020.htm,084C8D,FFFFFF,2600,TRIMET
21,TRIMET,21,Sandy Blvd/223rd,3,https://trimet.org/schedules/r021.htm,084C8D,FFFFFF,2650,TRIMET
22,TRIMET,22,Parkrose,3,https://trimet.org/schedules/r022.htm,084C8D,FFFFFF,2700,TRIMET
23,TRIMET,23,San Rafael,3,https://trimet.org/schedules/r023.htm,084C8D,FFFFFF,2800,TRIMET
24,TRIMET,24,Fremont/NW 18th,3,https://trimet.org/schedules/r024.htm,084C8D,FFFFFF,2850,TRIMET
25,TRIMET,25,Glisan/Troutdale Rd,3,https://trimet.org/schedules/r025.htm,084C8D,FFFFFF,2900,TRIMET
26,TRIMET,26,Thurman/NW 18th,3,https://trimet.org/schedules/r026.htm,084C8D,FFFFFF,3000,TRIMET
29,TRIMET,29,Lake/Webster Rd,3,https://trimet.org/schedules/r029.htm,084C8D,FFFFFF,3200,TRIMET
30,TRIMET,30,Estacada,3,https://trimet.org/schedules/r030.htm,084C8D,FFFFFF,3250,TRIMET
31,TRIMET,31,Webster Rd,3,https://trimet.org/schedules/r031.htm,084C8D,FFFFFF,3325,TRIMET
32,TRIMET,32,Oatfield,3,https://trimet.org/schedules/r032.htm,084C8D,FFFFFF,3400,TRIMET
33,TRIMET,33,McLoughlin/King Rd,3,https://trimet.org/schedules/r033.htm,084C8D,FFFFFF,3500,TRIMET
34,TRIMET,34,Linwood/River Rd,3,https://trimet.org/schedules/r034.htm,084C8D,FFFFFF,3600,TRIMET
35,TRIMET,35,Macadam/Greeley,3,https://trimet.org/schedules/r035.htm,084C8D,FFFFFF,3750,TRIMET
37,TRIMET,37,Lake Grove,3,https://trimet.org/schedules/r037.htm,084C8D,FFFFFF,4000,TRIMET
38,TRIMET,38,Boones Ferry Rd,3,https://trimet.org/schedules/r038.htm,084C8D,FFFFFF,4100,TRIMET
39,TRIMET,39,Arnold Creek/Hillsdale,3,https://trimet.org/schedules/r039.htm,084C8D,FFFFFF,4200,TRIMET
40,TRIMET,40,Tacoma/Swan Island,3,https://trimet.org/schedules/r040.htm,084C8D,FFFFFF,4300,TRIMET
43,TRIMET,43,Taylors Ferry/Marquam Hill,3,https://trimet.org/schedules/r043.htm,084C8D,FFFFFF,4500,TRIMET
44,TRIMET,44,Capitol Hwy/Mocks Crest,3,https://trimet.org/schedules/r044.htm,084C8D,FFFFFF,4650,TRIMET
45,TRIMET,45,Garden Home,3,https://trimet.org/schedules/r045.htm,084C8D,FFFFFF,4700,TRIMET
46,TRIMET,46,North Hillsboro,3,https://trimet.org/schedules/r046.htm,084C8D,FFFFFF,4800,TRIMET
47,TRIMET,47,Main/Evergreen,3,https://trimet.org/schedules/r047.htm,084C8D,FFFFFF,4900,TRIMET
48,TRIMET,48,Cornell,3,https://trimet.org/schedules/r048.htm,084C8D,FFFFFF,5000,TRIMET
51,TRIMET,51,Vista/Sunset Blvd,3,https://trimet.org/schedules/r051.htm,084C8D,FFFFFF,5300,TRIMET
52,TRIMET,52,Farmington/185th,3,https://trimet.org/schedules/r052.htm,084C8D,FFFFFF,5400,TRIMET
53,TRIMET,53,Arctic/Allen,3,https://trimet.org/schedules/r053.htm,084C8D,FFFFFF,5500,TRIMET
54,TRIMET,54,Beaverton-Hillsdale Hwy,3,https://trimet.org/schedules/r054.htm,084C8D,FFFFFF,5600,TRIMET
55,TRIMET,55,Hamilton,3,https://trimet.org/schedules/r055.htm,084C8D,FFFFFF,5700,TRIMET
56,TRIMET,56,Scholls Ferry/Marquam Hill,3,https://trimet.org/schedules/r056.htm,084C8D,FFFFFF,5800,TRIMET
57,TRIMET,57,TV Hwy/Forest Grove,3,https://trimet.org/schedules/r057.htm,084C8D,FFFFFF,5900,TRIMET
58,TRIMET,58,Canyon Rd,3,https://trimet.org/schedules/r058.htm,084C8D,FFFFFF,6000,TRIMET
59,TRIMET,59,Walker/Park Way,3,https://trimet.org/schedules/r059.htm,084C8D,FFFFFF,6100,TRIMET
62,TRIMET,62,Murray Blvd,3,https://trimet.org/schedules/r062.htm,084C8D,FFFFFF,6400,TRIMET
63,TRIMET,63,Washington Park/SW 6th,3,https://trimet.org/schedules/r063.htm,084C8D,FFFFFF,6500,TRIMET
67,TRIMET,67,Bethany/158th,3,https://trimet.org/schedules/r067.htm,084C8D,FFFFFF,6900,TRIMET
70,TRIMET,70,12th/NE 33rd Ave,3,https://trimet.org/schedules/r070.htm,084C8D,FFFFFF,7100,TRIMET
71,TRIMET,71,60th Ave,3,https://trimet.org/schedules/r071.htm,084C8D,FFFFFF,7200,TRIMET
72,TRIMET,72,Killingsworth/82nd Ave,3,https://trimet.org/schedules/r072.htm,084C8D,FFFFFF,7300,TRIMET
73,TRIMET,73,122nd Ave,3,https://trimet.org/schedules/r073.htm,084C8D,FFFFFF,7400,TRIMET
74,TRIMET,74,162nd Ave,3,https://trimet.org/schedules/r074.htm,084C8D,FFFFFF,7450,TRIMET
75,TRIMET,75,Cesar Chavez/Lombard,3,https://trimet.org/schedules/r075.htm,084C8D,FFFFFF,7500,TRIMET
76,TRIMET,76,Hall/Greenburg,3,https://trimet.org/schedules/r076.htm,084C8D,FFFFFF,7600,TRIMET
77,TRIMET,77,Broadway/Halsey,3,https://trimet.org/schedules/r077.htm,084C8D,FFFFFF,7700,TRIMET
78,TRIMET,78,Denney/Kerr Pkwy,3,https://trimet.org/schedules/r078.htm,084C8D,FFFFFF,7800,TRIMET
79,TRIMET,79,Clackamas/Oregon City,3,https://trimet.org/schedules/r079.htm,084C8D,FFFFFF,7900,TRIMET
80,TRIMET,80,Kane/Troutdale Rd,3,https://trimet.org/schedules/r080.htm,084C8D,FFFFFF,8000,TRIMET
81,TRIMET,81,Kane/257th,3,https://trimet.org/schedules/r081.htm,084C8D,FFFFFF,8100,TRIMET
82,TRIMET,82,South Gresham,3,https://trimet.org/schedules/r082.htm,084C8D,FFFFFF,8200,TRIMET
84,TRIMET,84,Powell Valley/Orient Dr,3,https://trimet.org/schedules/r084.htm,084C8D,FFFFFF,8400,TRIMET
87,TRIMET,87,Airport Way/181st,3,https://trimet.org/schedules/r087.htm,084C8D,FFFFFF,8600,TRIMET
88,TRIMET,88,Hart/198th,3,https://trimet.org/schedules/r088.htm,084C8D,FFFFFF,8700,TRIMET
90,TRIMET,,MAX Red Line,0,https://trimet.org/schedules/r090.htm,C41F3E,FFFFFF,130,TRIMET
94,TRIMET,94,Tigard/Sherwood,3,https://trimet.org/schedules/r094.htm,084C8D,FFFFFF,9100,TRIMET
96,TRIMET,96,Tualatin/I-5,3,https://trimet.org/schedules/r096.htm,084C8D,FFFFFF,9200,TRIMET
97,TRIMET,97,Tualatin-Sherwood Rd,3,https://trimet.org/schedules/r097.htm,084C8D,FFFFFF,9250,TRIMET
100,TRIMET,,MAX Blue Line,0,https://trimet.org/schedules/r100.htm,114C96,FFFFFF,100,TRIMET
152,TRIMET,152,Milwaukie,3,https://trimet.org/schedules/r152.htm,084C8D,FFFFFF,9400,TRIMET
153,TRIMET,153,Stafford/Salamo,3,https://trimet.org/schedules/r153.htm,084C8D,FFFFFF,9500,TRIMET
155,TRIMET,155,Sunnyside,3,https://trimet.org/schedules/r155.htm,084C8D,FFFFFF,9600,TRIMET
156,TRIMET,156,Mather Rd,3,https://trimet.org/schedules/r156.htm,084C8D,FFFFFF,9700,TRIMET
190,TRIMET,,MAX Yellow Line,0,https://trimet.org/schedules/r190.htm,FFC52F,000000,140,TRIMET
193,PSC,NS,Portland Streetcar - NS Line,0,https://portlandstreetcar.org/,8DC63F,000000,200,PSC
194,PSC,A,Portland Streetcar - A Loop,0,https://portlandstreetcar.org/,D91965,FFFFFF,250,PSC
195,PSC,B,Portland Streetcar - B Loop,0,https://portlandstreetcar.org/,32398E,FFFFFF,275,PSC
200,TRIMET,,MAX Green Line,0,https://trimet.org/schedules/r200.htm,008342,FFFFFF,110,TRIMET
203,TRIMET,,WES Commuter Rail,2,https://trimet.org/schedules/r203.htm,6E6E6E,FFFFFF,150,TRIMET
208,TRAM,,Portland Aerial Tram,6,http://www.gobytram.com/,898E91,000000,300,TRAM
287,TRIMET,287,Blue Eastside Bus,3,https://trimet.org/schedules/r287.htm,114C96,FFFFFF,9750,TRIMET
288,TRIMET,288,Blue Westside Bus,3,https://trimet.org/schedules/r288.htm,114C96,FFFFFF,9800,TRIMET
290,TRIMET,,MAX Orange Line,0,https://trimet.org/schedules/r290.htm,D05F27,FFFFFF,120,TRIMET
291,TRIMET,291,Orange Bus,3,https://trimet.org/schedules/r291.htm,D05F27,FFFFFF,9850,TRIMET
292,TRIMET,292,Red Bus,3,https://trimet.org/schedules/r292.htm,C41F3E,FFFFFF,9900,TRIMET
293,TRIMET,293,Yellow Bus,3,https://trimet.org/schedules/r293.htm,FFC52F,000000,9950,TRIMET
